"","Comparison","Z","P.unadj","P.adj"
"1","CONTROL.FRESH - CONTROL.SALT",1.17570596390163,0.239712394593881,1
"2","CONTROL.FRESH - Microbe_neg.FRESH",1.68354121599776,0.0922703675453229,1
"3","CONTROL.SALT - Microbe_neg.FRESH",0.57379703990359,0.56610515207985,1
"4","CONTROL.FRESH - Microbe_neg.SALT",2.92125928289489,0.00348619560998053,0.0522929341497079
"5","CONTROL.SALT - Microbe_neg.SALT",1.92275740890706,0.0545105232734779,0.708636802555213
"6","Microbe_neg.FRESH - Microbe_neg.SALT",1.33352239803044,0.182360430238088,1
"7","CONTROL.FRESH - Microbe_pos.FRESH",1.49374227949435,0.135242993253663,1
"8","CONTROL.SALT - Microbe_pos.FRESH",0.371640787410866,0.710160316785772,1
"9","Microbe_neg.FRESH - Microbe_pos.FRESH",-0.196460563921212,0.84424969657497,0.84424969657497
"10","Microbe_neg.SALT - Microbe_pos.FRESH",-1.52332133453384,0.127678332114037,1
"11","CONTROL.FRESH - Microbe_pos.SALT",0.3724006450253,0.709594573743455,1
"12","CONTROL.SALT - Microbe_pos.SALT",-0.858769508630973,0.3904676930993,1
"13","Microbe_neg.FRESH - Microbe_pos.SALT",-1.40692583805542,0.159449380966864,1
"14","Microbe_neg.SALT - Microbe_pos.SALT",-2.72606272778339,0.00640948161628647,0.0897327426280106
"15","Microbe_pos.FRESH - Microbe_pos.SALT",-1.2047695855627,0.228292264362681,1
